Assembly	contigs
# contigs (>= 0 bp)	70
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34022
Total length (>= 1000 bp)	10535
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	2374
Total length	20916
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	1014
NG50	695
N75	667
L50	6
LG50	12
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	653
Genome fraction (%)	65.960
Duplication ratio	1.027
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.42
# indels per 100 kbp	0.00
# genomic features	12 + 21 part
Largest alignment	2374
Total aligned length	20263
NA50	1014
NGA50	695
NA75	667
LA50	6
LGA50	12
LA75	13
