Assembly	SRR12161779
# contigs (>= 0 bp)	11
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	6006
Total length (>= 1000 bp)	2712
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	1494
Total length	3969
Reference length	29903
GC (%)	37.64
Reference GC (%)	37.97
N50	1218
N75	658
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	13.199
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	76.01
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	1494
Total aligned length	3969
NA50	1218
NGA50	-
NA75	658
LA50	2
LA75	3
