Assembly	contigs
# contigs (>= 0 bp)	52
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20042
Total length (>= 1000 bp)	1049
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	1049
Total length	7877
Reference length	29903
GC (%)	39.60
Reference GC (%)	37.97
N50	604
N75	574
L50	6
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	26.342
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	25.39
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1049
Total aligned length	7877
NA50	604
NGA50	-
NA75	574
LA50	6
LA75	9
