Assembly	ERR4304935_scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29722
Total length (>= 1000 bp)	28753
Total length (>= 5000 bp)	25973
Total length (>= 10000 bp)	11341
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	11341
Total length	29722
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	7566
NG50	7566
N75	7066
NG75	7066
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.756
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.70
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	11341
Total aligned length	29722
NA50	7566
NGA50	7566
NA75	7066
NGA75	7066
LA50	2
LGA50	2
LA75	3
LGA75	3
