Assembly	ERR4210055_scaffolds
# contigs (>= 0 bp)	231
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	53477
Total length (>= 1000 bp)	1301
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	1301
Total length	9168
Reference length	29903
GC (%)	38.21
Reference GC (%)	37.97
N50	750
N75	647
L50	5
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	4
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	28.378
Duplication ratio	1.080
# N's per 100 kbp	11103.84
# mismatches per 100 kbp	0.00
# indels per 100 kbp	94.27
# genomic features	0 + 17 part
Largest alignment	1301
Total aligned length	8679
NA50	647
NGA50	-
NA75	600
LA50	6
LA75	9
