Assembly	ERR4304935_scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29508
Total length (>= 1000 bp)	29508
Total length (>= 5000 bp)	29508
Total length (>= 10000 bp)	29508
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19337
Total length	29508
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	19337
NG50	19337
N75	10171
NG75	10171
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.519
Duplication ratio	1.002
# N's per 100 kbp	172.83
# mismatches per 100 kbp	23.76
# indels per 100 kbp	3.39
# genomic features	40 + 9 part
Largest alignment	19287
Total aligned length	29458
NA50	19287
NGA50	19287
NA75	10171
NGA75	10171
LA50	1
LGA50	1
LA75	2
LGA75	2
