Assembly	contigs
# contigs (>= 0 bp)	674
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	97597
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	847
Total length	5601
Reference length	29903
GC (%)	36.62
Reference GC (%)	37.97
N50	629
N75	518
L50	4
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	18.674
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	4 + 17 part
Largest alignment	847
Total aligned length	5584
NA50	629
NGA50	-
NA75	509
LA50	4
LA75	7
