Assembly	ERR4304934_scaffolds
# contigs (>= 0 bp)	33
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29716
Total length (>= 1000 bp)	26658
Total length (>= 5000 bp)	20229
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	7749
Total length	28359
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	6148
NG50	6148
N75	2944
NG75	2944
L50	3
LG50	3
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.833
Duplication ratio	1.000
# N's per 100 kbp	10.58
# mismatches per 100 kbp	21.16
# indels per 100 kbp	3.53
# genomic features	32 + 13 part
Largest alignment	7749
Total aligned length	28359
NA50	6148
NGA50	6148
NA75	2944
NGA75	2944
LA50	3
LGA50	3
LA75	4
LGA75	4
