Assembly	contigs
# contigs (>= 0 bp)	1336
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	268659
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	716
Total length	716
Reference length	29903
GC (%)	37.29
Reference GC (%)	37.97
N50	716
N75	716
L50	1
L75	1
# misassemblies	3
# misassembled contigs	1
Misassembled contigs length	716
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	2.394
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	279.33
# indels per 100 kbp	0.00
# genomic features	0 + 5 part
Largest alignment	370
Total aligned length	711
NA50	370
NGA50	-
NA75	96
LA50	1
LA75	3
