Assembly	SRR12045933.contigs
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	43136
Total length (>= 1000 bp)	36307
Total length (>= 5000 bp)	26626
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	8193
Total length	39136
Reference length	29903
GC (%)	42.58
Reference GC (%)	37.97
N50	5899
NG50	7101
N75	2003
NG75	5433
L50	3
LG50	2
L75	6
LG75	4
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1056
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	6 + 1 part
Unaligned length	8526
Genome fraction (%)	98.900
Duplication ratio	1.035
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.43
# indels per 100 kbp	6.76
# genomic features	32 + 17 part
Largest alignment	8193
Total aligned length	30477
NA50	5899
NGA50	7101
NA75	954
NGA75	5300
LA50	3
LGA50	2
LA75	7
LGA75	4
