Assembly	ERR4305284_scaffolds
# contigs (>= 0 bp)	18
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29281
Total length (>= 1000 bp)	28058
Total length (>= 5000 bp)	24593
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	9227
Total length	28665
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	8742
NG50	8742
N75	6624
NG75	6624
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.683
Duplication ratio	1.002
# N's per 100 kbp	174.43
# mismatches per 100 kbp	27.96
# indels per 100 kbp	10.49
# genomic features	32 + 13 part
Largest alignment	9177
Total aligned length	28615
NA50	8742
NGA50	8742
NA75	6624
NGA75	6624
LA50	2
LGA50	2
LA75	3
LGA75	3
