Assembly	contigs
# contigs (>= 0 bp)	626
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	94268
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	781
Total length	3650
Reference length	29903
GC (%)	38.36
Reference GC (%)	37.97
N50	575
N75	515
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	12.206
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.40
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	781
Total aligned length	3650
NA50	575
NGA50	-
NA75	515
LA50	3
LA75	5
