Assembly	ERR4304935_scaffolds
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29785
Total length (>= 1000 bp)	29541
Total length (>= 5000 bp)	29541
Total length (>= 10000 bp)	29541
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19285
Total length	29541
Reference length	29903
GC (%)	38.04
Reference GC (%)	37.97
N50	19285
NG50	19285
N75	10256
NG75	10256
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.622
Duplication ratio	1.002
# N's per 100 kbp	169.26
# mismatches per 100 kbp	23.74
# indels per 100 kbp	6.78
# genomic features	44 + 5 part
Largest alignment	19285
Total aligned length	29541
NA50	19285
NGA50	19285
NA75	10256
NGA75	10256
LA50	1
LGA50	1
LA75	2
LGA75	2
