Assembly	SRR11869148.contigs
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45098
Total length (>= 1000 bp)	36197
Total length (>= 5000 bp)	28785
Total length (>= 10000 bp)	19586
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	19586
Total length	40221
Reference length	29903
GC (%)	43.46
Reference GC (%)	37.97
N50	9199
NG50	19586
N75	2457
NG75	9199
L50	2
LG50	1
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	9 + 0 part
Unaligned length	10013
Genome fraction (%)	99.706
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.54
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19446
Total aligned length	30067
NA50	9199
NGA50	19446
NGA75	9199
LA50	2
LGA50	1
LGA75	2
