Assembly	SRR11597163.contigs
# contigs (>= 0 bp)	37
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45007
Total length (>= 1000 bp)	29785
Total length (>= 5000 bp)	29785
Total length (>= 10000 bp)	29785
Total length (>= 25000 bp)	29785
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	29785
Total length	35196
Reference length	29903
GC (%)	39.34
Reference GC (%)	37.97
N50	29785
NG50	29785
N75	29785
NG75	29785
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	10 + 0 part
Unaligned length	5411
Genome fraction (%)	99.605
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6.71
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29785
Total aligned length	29785
NA50	29785
NGA50	29785
NA75	29785
NGA75	29785
LA50	1
LGA50	1
LA75	1
LGA75	1
