Assembly	ERR4304970_scaffolds
# contigs (>= 0 bp)	19
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30436
Total length (>= 1000 bp)	28058
Total length (>= 5000 bp)	10931
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	5677
Total length	28058
Reference length	29903
GC (%)	37.94
Reference GC (%)	37.97
N50	3711
NG50	2753
N75	2320
NG75	2219
L50	3
LG50	4
L75	6
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.111
Duplication ratio	1.008
# N's per 100 kbp	181.77
# mismatches per 100 kbp	17.96
# indels per 100 kbp	3.59
# genomic features	24 + 21 part
Largest alignment	5677
Total aligned length	28058
NA50	3711
NGA50	2753
NA75	2320
NGA75	2219
LA50	3
LGA50	4
LA75	6
LGA75	7
