Assembly	contigs
# contigs (>= 0 bp)	72
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34364
Total length (>= 1000 bp)	10501
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	2374
Total length	20882
Reference length	29903
GC (%)	37.91
Reference GC (%)	37.97
N50	1029
NG50	695
N75	667
L50	6
LG50	12
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	653
Genome fraction (%)	65.846
Duplication ratio	1.027
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.47
# indels per 100 kbp	0.00
# genomic features	12 + 21 part
Largest alignment	2374
Total aligned length	20229
NA50	1029
NGA50	695
NA75	667
LA50	6
LGA50	12
LA75	13
