Assembly	SRR11578294
# contigs (>= 0 bp)	13
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31080
Total length (>= 1000 bp)	29601
Total length (>= 5000 bp)	12826
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	6535
Total length	30747
Reference length	29903
GC (%)	37.77
Reference GC (%)	37.97
N50	4010
NG50	4010
N75	1500
NG75	2210
L50	3
LG50	3
L75	6
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.362
Duplication ratio	1.067
# N's per 100 kbp	0.00
# mismatches per 100 kbp	59.00
# indels per 100 kbp	27.76
# genomic features	32 + 17 part
Largest alignment	6535
Total aligned length	30690
NA50	3994
NGA50	3994
NA75	1500
NGA75	2210
LA50	3
LGA50	3
LA75	6
LGA75	5
