Assembly	contigs
# contigs (>= 0 bp)	352
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	75929
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	588
Total length	2201
Reference length	29903
GC (%)	36.98
Reference GC (%)	37.97
N50	570
N75	522
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	7.360
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	45.43
# indels per 100 kbp	0.00
# genomic features	4 + 17 part
Largest alignment	588
Total aligned length	2201
NA50	570
NGA50	-
NA75	522
LA50	2
LA75	3
