Assembly	contigs
# contigs (>= 0 bp)	120
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30933
Total length (>= 1000 bp)	1058
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	1058
Total length	6119
Reference length	29903
GC (%)	38.29
Reference GC (%)	37.97
N50	648
N75	588
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	20.473
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	16.33
# genomic features	0 + 21 part
Largest alignment	1058
Total aligned length	6119
NA50	648
NGA50	-
NA75	588
LA50	4
LA75	6
