Assembly	contigs
# contigs (>= 0 bp)	128
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	39110
Total length (>= 1000 bp)	2282
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1209
Total length	10493
Reference length	29903
GC (%)	38.53
Reference GC (%)	37.97
N50	663
N75	564
L50	6
L75	11
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	754
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	35.087
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	57.19
# indels per 100 kbp	9.53
# genomic features	8 + 25 part
Largest alignment	1209
Total aligned length	10493
NA50	658
NGA50	-
NA75	564
LA50	7
LA75	11
