Assembly	contigs
# contigs (>= 0 bp)	26
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	10143
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	811
Total length	2995
Reference length	29903
GC (%)	40.10
Reference GC (%)	37.97
N50	547
N75	534
L50	3
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	9.942
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	67.27
# indels per 100 kbp	67.27
# genomic features	0 + 17 part
Largest alignment	811
Total aligned length	2973
NA50	541
NGA50	-
NA75	534
LA50	3
LA75	4
