Assembly	contigs
# contigs (>= 0 bp)	78
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33285
Total length (>= 1000 bp)	3888
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	24
Largest contig	1697
Total length	18898
Reference length	29903
GC (%)	37.70
Reference GC (%)	37.97
N50	856
NG50	614
N75	643
L50	10
LG50	17
L75	16
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	1352
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	61.997
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.76
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1697
Total aligned length	18898
NA50	856
NGA50	613
NA75	643
LA50	10
LGA50	18
LA75	16
