Assembly	contigs
# contigs (>= 0 bp)	2197
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	417937
Total length (>= 1000 bp)	2169
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	31
Largest contig	1149
Total length	21216
Reference length	29903
GC (%)	45.78
Reference GC (%)	37.97
N50	713
NG50	563
N75	560
L50	13
LG50	20
L75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	23 + 0 part
Unaligned length	15865
Genome fraction (%)	17.895
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	18.69
# indels per 100 kbp	37.38
# genomic features	0 + 21 part
Largest alignment	958
Total aligned length	5351
NGA50	-
