Assembly	SRR11577932.contigs
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30009
Total length (>= 1000 bp)	30009
Total length (>= 5000 bp)	30009
Total length (>= 10000 bp)	22540
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	22540
Total length	30009
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	22540
NG50	22540
N75	22540
NG75	22540
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.385
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.19
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22298
Total aligned length	29719
NA50	22298
NGA50	22298
NA75	7421
NGA75	7421
LA50	1
LGA50	1
LA75	2
LGA75	2
