Assembly	ERR4304895_scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28772
Total length (>= 1000 bp)	27190
Total length (>= 5000 bp)	19042
Total length (>= 10000 bp)	19042
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	19042
Total length	28102
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	19042
NG50	19042
N75	4997
NG75	4997
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.997
Duplication ratio	1.000
# N's per 100 kbp	355.85
# mismatches per 100 kbp	32.02
# indels per 100 kbp	7.12
# genomic features	20 + 21 part
Largest alignment	18981
Total aligned length	28041
NA50	18981
NGA50	18981
NA75	4997
NGA75	4997
LA50	1
LGA50	1
LA75	2
LGA75	2
