Assembly	contigs
# contigs (>= 0 bp)	114
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27646
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	518
Total length	1022
Reference length	29903
GC (%)	41.19
Reference GC (%)	37.97
N50	518
N75	504
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	3.418
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	293.54
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	518
Total aligned length	1022
NA50	518
NGA50	-
NA75	504
LA50	1
LA75	2
