Assembly	transcripts
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29943
Total length (>= 1000 bp)	29943
Total length (>= 5000 bp)	29943
Total length (>= 10000 bp)	14704
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	14704
Total length	29943
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	7666
NG50	7666
N75	7573
NG75	7573
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.726
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.89
# indels per 100 kbp	3.35
# genomic features	36 + 13 part
Largest alignment	14704
Total aligned length	29912
NA50	7652
NGA50	7652
NA75	7556
NGA75	7556
LA50	2
LGA50	2
LA75	3
LGA75	3
