Assembly	contigs
# contigs (>= 0 bp)	214
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	82351
Total length (>= 1000 bp)	3507
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	41
Largest contig	1286
Total length	30606
Reference length	29903
GC (%)	44.12
Reference GC (%)	37.97
N50	727
NG50	755
N75	624
NG75	625
L50	17
LG50	16
L75	28
LG75	27
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	30 + 0 part
Unaligned length	22245
Genome fraction (%)	27.750
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	60.26
# indels per 100 kbp	24.10
# genomic features	0 + 21 part
Largest alignment	971
Total aligned length	8358
NGA50	-
