Assembly	SRR11826828
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	59649
Total length (>= 1000 bp)	59649
Total length (>= 5000 bp)	59649
Total length (>= 10000 bp)	59649
Total length (>= 25000 bp)	59649
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	29833
Total length	59649
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	29833
NG50	29833
N75	29816
NG75	29833
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.709
Duplication ratio	2.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.25
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29816
Total aligned length	59629
NA50	29813
NGA50	29816
NA75	29813
NGA75	29816
LA50	2
LGA50	1
LA75	2
LGA75	1
