Assembly	contigs
# contigs (>= 0 bp)	713
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	101287
Total length (>= 1000 bp)	1015
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	1015
Total length	4162
Reference length	29903
GC (%)	36.26
Reference GC (%)	37.97
N50	823
N75	722
L50	3
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	13.724
Duplication ratio	1.014
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.37
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1015
Total aligned length	4104
NA50	823
NGA50	-
NA75	722
LA50	3
LA75	4
