Assembly	SRR11676287
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30148
Total length (>= 1000 bp)	29754
Total length (>= 5000 bp)	27297
Total length (>= 10000 bp)	19382
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19382
Total length	29754
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	19382
NG50	19382
N75	7915
NG75	7915
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.217
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.48
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19345
Total aligned length	29694
NA50	19345
NGA50	19345
NA75	7914
NGA75	7914
LA50	1
LGA50	1
LA75	2
LGA75	2
