Assembly	transcripts
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30160
Total length (>= 1000 bp)	28392
Total length (>= 5000 bp)	5162
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	5162
Total length	29381
Reference length	29903
GC (%)	38.24
Reference GC (%)	37.97
N50	3769
NG50	3769
N75	2396
NG75	2396
L50	4
LG50	4
L75	6
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.104
Duplication ratio	1.022
# N's per 100 kbp	0.00
# mismatches per 100 kbp	48.72
# indels per 100 kbp	3.48
# genomic features	36 + 13 part
Largest alignment	5160
Total aligned length	29138
NA50	3769
NGA50	3769
NA75	2396
NGA75	2396
LA50	4
LGA50	4
LA75	6
LGA75	6
