Assembly	transcripts
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30594
Total length (>= 1000 bp)	29936
Total length (>= 5000 bp)	29936
Total length (>= 10000 bp)	22268
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22268
Total length	30594
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	22268
NG50	22268
N75	7668
NG75	7668
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	658
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.732
Duplication ratio	1.026
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.24
# indels per 100 kbp	3.35
# genomic features	40 + 9 part
Largest alignment	22232
Total aligned length	30544
NA50	22232
NGA50	22232
NA75	7654
NGA75	7654
LA50	1
LGA50	1
LA75	2
LGA75	2
