Assembly	contigs
# contigs (>= 0 bp)	27
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	7852
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	817
Total length	817
Reference length	29903
GC (%)	37.45
Reference GC (%)	37.97
N50	817
N75	817
L50	1
L75	1
# misassemblies	3
# misassembled contigs	1
Misassembled contigs length	817
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	2.722
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	491.40
# indels per 100 kbp	368.55
# genomic features	0 + 9 part
Largest alignment	396
Total aligned length	809
NA50	157
NGA50	-
NA75	132
LA50	2
LA75	3
