Assembly	SRR11578210
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29413
Total length (>= 1000 bp)	28752
Total length (>= 5000 bp)	27659
Total length (>= 10000 bp)	21125
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	21125
Total length	29413
Reference length	29903
GC (%)	37.97
Reference GC (%)	37.97
N50	21125
NG50	21125
N75	6534
NG75	6534
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.345
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.20
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	21125
Total aligned length	29408
NA50	21125
NGA50	21125
NA75	6534
NGA75	6534
LA50	1
LGA50	1
LA75	2
LGA75	2
