Assembly	SRR11915924
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	52952
Total length (>= 1000 bp)	50531
Total length (>= 5000 bp)	50531
Total length (>= 10000 bp)	44601
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	22301
Total length	52577
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	22300
NG50	22301
N75	22300
NG75	22300
L50	2
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.338
Duplication ratio	1.825
# N's per 100 kbp	0.00
# mismatches per 100 kbp	79.84
# indels per 100 kbp	3.47
# genomic features	40 + 9 part
Largest alignment	22301
Total aligned length	52475
NA50	22300
NGA50	22301
NA75	22300
NGA75	22300
LA50	2
LGA50	1
LA75	2
LGA75	2
