Assembly	contigs
# contigs (>= 0 bp)	441
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	93360
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	588
Total length	1158
Reference length	29903
GC (%)	38.26
Reference GC (%)	37.97
N50	588
N75	570
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	3.873
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	86.36
# indels per 100 kbp	0.00
# genomic features	4 + 13 part
Largest alignment	588
Total aligned length	1158
NA50	588
NGA50	-
NA75	570
LA50	1
LA75	2
