Assembly	ERR4329214_scaffolds
# contigs (>= 0 bp)	173
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34662
Total length (>= 1000 bp)	16387
Total length (>= 5000 bp)	11805
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	6058
Total length	23557
Reference length	29903
GC (%)	37.49
Reference GC (%)	37.97
N50	5747
NG50	1620
N75	903
NG75	576
L50	2
LG50	4
L75	7
LG75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	78.062
Duplication ratio	1.009
# N's per 100 kbp	424.50
# mismatches per 100 kbp	25.70
# indels per 100 kbp	4.28
# genomic features	12 + 25 part
Largest alignment	6008
Total aligned length	23507
NA50	1836
NGA50	1620
NA75	903
NGA75	576
LA50	3
LGA50	4
LA75	7
LGA75	13
