Assembly	transcripts
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	40746
Total length (>= 1000 bp)	39923
Total length (>= 5000 bp)	38249
Total length (>= 10000 bp)	14643
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	14643
Total length	40746
Reference length	29903
GC (%)	37.54
Reference GC (%)	37.97
N50	9861
NG50	9861
N75	7664
NG75	9861
L50	2
LG50	2
L75	3
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	9861
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.722
Duplication ratio	1.366
# N's per 100 kbp	0.00
# mismatches per 100 kbp	77.13
# indels per 100 kbp	30.18
# genomic features	36 + 13 part
Largest alignment	14625
Total aligned length	40597
NA50	7650
NGA50	7650
NA75	4935
NGA75	6061
LA50	2
LGA50	2
LA75	4
LGA75	3
