Assembly	contigs
# contigs (>= 0 bp)	29
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	12464
Total length (>= 1000 bp)	1039
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	1039
Total length	4305
Reference length	29903
GC (%)	39.56
Reference GC (%)	37.97
N50	562
N75	533
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	14.397
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.23
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1039
Total aligned length	4305
NA50	562
NGA50	-
NA75	533
LA50	3
LA75	5
