Assembly	ERR4329421_scaffolds
# contigs (>= 0 bp)	6226
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	601164
Total length (>= 1000 bp)	1201
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	1201
Total length	5993
Reference length	29903
GC (%)	36.32
Reference GC (%)	37.97
N50	822
N75	548
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	19.884
Duplication ratio	1.008
# N's per 100 kbp	16.69
# mismatches per 100 kbp	16.82
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1201
Total aligned length	5993
NA50	822
NGA50	-
NA75	548
LA50	4
LA75	6
