Assembly	ERR4305225
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	12090
Total length (>= 1000 bp)	9066
Total length (>= 5000 bp)	6758
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	6758
Total length	10659
Reference length	29903
GC (%)	38.54
Reference GC (%)	37.97
N50	6758
N75	2308
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	35.642
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.15
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	6758
Total aligned length	10658
NA50	6758
NGA50	-
NA75	2308
LA50	1
LA75	2
