Assembly	ERR4305021
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	6627
Total length (>= 1000 bp)	6092
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	4591
Total length	6092
Reference length	29903
GC (%)	38.53
Reference GC (%)	37.97
N50	4591
N75	4591
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	20.152
Duplication ratio	1.011
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	4591
Total aligned length	6026
NA50	4591
NGA50	-
NA75	4591
LA50	1
LA75	1
