Assembly	SRR11622201
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29673
Total length (>= 1000 bp)	29673
Total length (>= 5000 bp)	22300
Total length (>= 10000 bp)	22300
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22300
Total length	29673
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	22300
NG50	22300
N75	22300
NG75	3759
L50	1
LG50	1
L75	1
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.131
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.24
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	22300
Total aligned length	29668
NA50	22300
NGA50	22300
NA75	22300
NGA75	3759
LA50	1
LGA50	1
LA75	1
LGA75	2
