Assembly	SRR11828424
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	24176
Total length (>= 1000 bp)	16633
Total length (>= 5000 bp)	5532
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	5532
Total length	19655
Reference length	29903
GC (%)	38.98
Reference GC (%)	37.97
N50	1580
NG50	1108
N75	1108
L50	3
LG50	7
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	61.917
Duplication ratio	1.062
# N's per 100 kbp	0.00
# mismatches per 100 kbp	16.20
# indels per 100 kbp	5.40
# genomic features	16 + 21 part
Largest alignment	5532
Total aligned length	19608
NA50	1580
NGA50	1094
NA75	1094
LA50	3
LGA50	7
LA75	7
