Assembly	ERR4305021_scaffolds
# contigs (>= 0 bp)	32
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29860
Total length (>= 1000 bp)	27682
Total length (>= 5000 bp)	20532
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	8476
Total length	28268
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	6361
NG50	5695
N75	3470
NG75	3470
L50	2
LG50	3
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.582
Duplication ratio	0.999
# N's per 100 kbp	17.69
# mismatches per 100 kbp	14.14
# indels per 100 kbp	10.61
# genomic features	40 + 9 part
Largest alignment	8476
Total aligned length	28268
NA50	6361
NGA50	5695
NA75	3470
NGA75	3470
LA50	2
LGA50	3
LA75	4
LGA75	4
