Assembly	contigs
# contigs (>= 0 bp)	638
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	188062
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	798
Total length	6575
Reference length	29903
GC (%)	39.41
Reference GC (%)	37.97
N50	597
N75	583
L50	6
L75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	527
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1192
Genome fraction (%)	17.995
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	37.17
# genomic features	0 + 13 part
Largest alignment	798
Total aligned length	5383
NA50	583
NGA50	-
NA75	438
LA50	6
LA75	9
