Assembly	contigs
# contigs (>= 0 bp)	315
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	54793
Total length (>= 1000 bp)	1243
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	1243
Total length	11149
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	666
N75	613
L50	7
L75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	37.388
Duplication ratio	0.997
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.72
# indels per 100 kbp	8.94
# genomic features	8 + 25 part
Largest alignment	1243
Total aligned length	11147
NA50	666
NGA50	-
NA75	613
LA50	7
LA75	12
