Assembly	ERR4085119_scaffolds
# contigs (>= 0 bp)	22
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30045
Total length (>= 1000 bp)	28004
Total length (>= 5000 bp)	13325
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	7352
Total length	28962
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	4847
NG50	4847
N75	2892
NG75	2892
L50	3
LG50	3
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.653
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.76
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	7352
Total aligned length	28962
NA50	4847
NGA50	4847
NA75	2892
NGA75	2892
LA50	3
LGA50	3
LA75	5
LGA75	5
