Assembly	contigs
# contigs (>= 0 bp)	209
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	80792
Total length (>= 1000 bp)	3507
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	42
Largest contig	1286
Total length	31281
Reference length	29903
GC (%)	43.78
Reference GC (%)	37.97
N50	755
NG50	773
N75	624
NG75	634
L50	17
LG50	16
L75	29
LG75	27
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	30 + 0 part
Unaligned length	22292
Genome fraction (%)	29.853
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	78.41
# indels per 100 kbp	33.61
# genomic features	0 + 21 part
Largest alignment	932
Total aligned length	8986
NGA50	-
