Assembly	ERR4305106_scaffolds
# contigs (>= 0 bp)	380
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	59568
Total length (>= 1000 bp)	3949
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1519
Total length	12050
Reference length	29903
GC (%)	37.55
Reference GC (%)	37.97
N50	819
N75	644
L50	6
L75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	40.090
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	16.68
# indels per 100 kbp	0.00
# genomic features	4 + 25 part
Largest alignment	1519
Total aligned length	12050
NA50	819
NGA50	-
NA75	644
LA50	6
LA75	10
