Assembly	ERR4305243.contigs
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29105
Total length (>= 1000 bp)	29105
Total length (>= 5000 bp)	24520
Total length (>= 10000 bp)	24520
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	13922
Total length	29105
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	10598
NG50	10598
N75	10598
NG75	10598
L50	2
LG50	2
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	2038
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.823
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.63
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	13922
Total aligned length	29094
NA50	10587
NGA50	10587
NA75	10587
NGA75	10587
LA50	2
LGA50	2
LA75	2
LGA75	2
