Assembly	transcripts
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34356
Total length (>= 1000 bp)	34356
Total length (>= 5000 bp)	26768
Total length (>= 10000 bp)	19255
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	19255
Total length	34356
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	19255
NG50	19255
N75	7513
NG75	7513
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.679
Duplication ratio	1.164
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.28
# indels per 100 kbp	3.39
# genomic features	40 + 9 part
Largest alignment	19254
Total aligned length	34251
NA50	19254
NGA50	19254
NA75	7513
NGA75	7513
LA50	1
LGA50	1
LA75	2
LGA75	2
