Assembly	transcripts
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29315
Total length (>= 1000 bp)	29315
Total length (>= 5000 bp)	14719
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	9668
Total length	29315
Reference length	29903
GC (%)	38.10
Reference GC (%)	37.97
N50	5051
NG50	4659
N75	2117
NG75	2117
L50	2
LG50	3
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.228
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	51.59
# indels per 100 kbp	3.44
# genomic features	32 + 17 part
Largest alignment	9668
Total aligned length	29263
NA50	5050
NGA50	4659
NA75	2117
NGA75	2117
LA50	2
LGA50	3
LA75	5
LGA75	5
