Assembly	contigs
# contigs (>= 0 bp)	109
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28906
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	854
Total length	5920
Reference length	29903
GC (%)	38.43
Reference GC (%)	37.97
N50	684
N75	552
L50	4
L75	7
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	571
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	19.737
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	0 + 21 part
Largest alignment	854
Total aligned length	5902
NA50	684
NGA50	-
NA75	540
LA50	4
LA75	7
