Assembly	contigs
# contigs (>= 0 bp)	52
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20062
Total length (>= 1000 bp)	1049
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	1049
Total length	7384
Reference length	29903
GC (%)	39.65
Reference GC (%)	37.97
N50	644
N75	574
L50	5
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	24.693
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.54
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1049
Total aligned length	7384
NA50	644
NGA50	-
NA75	574
LA50	5
LA75	8
