Assembly	contigs
# contigs (>= 0 bp)	67
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	24796
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	937
Total length	7376
Reference length	29903
GC (%)	39.82
Reference GC (%)	37.97
N50	667
N75	594
L50	5
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	24.235
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.60
# indels per 100 kbp	13.80
# genomic features	0 + 17 part
Largest alignment	937
Total aligned length	7315
NA50	667
NGA50	-
NA75	594
LA50	5
LA75	8
