Assembly	SRR12162329.contigs
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28261
Total length (>= 1000 bp)	26935
Total length (>= 5000 bp)	13145
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	6882
Total length	27881
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	3646
NG50	3646
N75	2425
NG75	2425
L50	3
LG50	3
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.586
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.90
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	6849
Total aligned length	27686
NA50	3585
NGA50	3585
NA75	2425
NGA75	2425
LA50	3
LGA50	3
LA75	5
LGA75	5
