Assembly	ERR4305106_scaffolds
# contigs (>= 0 bp)	277
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	62911
Total length (>= 1000 bp)	4238
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1532
Total length	12792
Reference length	29903
GC (%)	37.84
Reference GC (%)	37.97
N50	877
N75	660
L50	6
L75	10
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	651
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	42.581
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	7.85
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1532
Total aligned length	12792
NA50	877
NGA50	-
NA75	660
LA50	6
LA75	10
