Assembly	transcripts
# contigs (>= 0 bp)	22
# contigs (>= 1000 bp)	13
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35627
Total length (>= 1000 bp)	29763
Total length (>= 5000 bp)	5721
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	5721
Total length	34338
Reference length	29903
GC (%)	37.95
Reference GC (%)	37.97
N50	2506
NG50	2800
N75	1328
NG75	1596
L50	5
LG50	4
L75	10
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.837
Duplication ratio	1.198
# N's per 100 kbp	224.24
# mismatches per 100 kbp	55.83
# indels per 100 kbp	13.96
# genomic features	20 + 25 part
Largest alignment	5721
Total aligned length	34061
NA50	2505
NGA50	2798
NA75	1328
NGA75	1592
LA50	5
LGA50	4
LA75	10
LGA75	8
