Assembly	SRR12045777.contigs
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30285
Total length (>= 1000 bp)	30285
Total length (>= 5000 bp)	28902
Total length (>= 10000 bp)	19633
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19633
Total length	30285
Reference length	29903
GC (%)	38.12
Reference GC (%)	37.97
N50	19633
NG50	19633
N75	9269
NG75	9269
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1383
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.448
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.54
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19502
Total aligned length	30014
NA50	19502
NGA50	19502
NA75	9129
NGA75	9129
LA50	1
LGA50	1
LA75	2
LGA75	2
