Assembly	ERR4305106_scaffolds
# contigs (>= 0 bp)	257
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34328
Total length (>= 1000 bp)	7849
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	3421
Total length	14787
Reference length	29903
GC (%)	37.61
Reference GC (%)	37.97
N50	1062
N75	799
L50	4
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	49.299
Duplication ratio	1.003
# N's per 100 kbp	466.63
# mismatches per 100 kbp	6.78
# indels per 100 kbp	13.57
# genomic features	8 + 21 part
Largest alignment	3421
Total aligned length	14787
NA50	1062
NGA50	-
NA75	799
LA50	4
LA75	8
