Assembly	transcripts
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32474
Total length (>= 1000 bp)	32474
Total length (>= 5000 bp)	29136
Total length (>= 10000 bp)	29136
Total length (>= 25000 bp)	29136
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	29136
Total length	32474
Reference length	29903
GC (%)	38.21
Reference GC (%)	37.97
N50	29136
NG50	29136
N75	29136
NG75	29136
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.107
Duplication ratio	1.096
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.62
# indels per 100 kbp	10.12
# genomic features	44 + 5 part
Largest alignment	29082
Total aligned length	32297
NA50	29082
NGA50	29082
NA75	29082
NGA75	29082
LA50	1
LGA50	1
LA75	1
LGA75	1
